,symbol,description,type,exchange,currency_code,currency-logoid,base-currency-logoid,provider_id,source2,source_id,typespecs,prefix,logoid,params,contracts
7957,3ULLUSDT,PLAYA3ULL/TETHER USD,spot,BitMart,USDT,crypto/XTVCUSDT,crypto/XTVC3ULL,bitmart,"{'id': 'BITMART', 'name': 'BitMart', 'description': 'BitMart'}",BITMART,['crypto'],BITMART,,,
7958,AEVOUSD,Aevo,spot,CRYPTO,USD,country/US,crypto/XTVCAEVO,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
7959,AKITAUSDT,Akita Inu/Tether,spot,Gate.io,USDT,crypto/XTVCUSDT,crypto/XTVCAKITA,gateio,"{'id': 'GATEIO', 'name': 'Gate.io', 'description': 'Gate.io'}",GATEIO,['crypto'],GATEIO,,,
7960,ALGOUSDT,Algorand (ALGO) / Tether USD,spot,HTX,USDT,crypto/XTVCUSDT,crypto/XTVCALGO,htx,"{'id': 'HTX', 'name': 'HTX', 'description': 'HTX'}",HTX,['crypto'],,,,
7961,CORGIAIUSDT,CorgiAI/Tether,spot,Gate.io,USDT,,,gateio,"{'id': 'GATEIO', 'name': 'Gate.io', 'description': 'Gate.io'}",GATEIO,['crypto'],GATEIO,,,
7962,CRVUSDT.P,CURVE FINANCE/USD TETHER PERPETUAL SWAP CONTRACT,swap,BloFin,USDT,crypto/XTVCUSDT,crypto/XTVCCRV,blofin,"{'id': 'BLOFIN', 'name': 'BloFin', 'description': 'BloFin'}",BLOFIN,"['crypto', 'perpetual']",BLOFIN,,,
7963,DOGUSDT.P,DOG (RUNES)/USD TETHER PERPETUAL SWAP CONTRACT,swap,BloFin,USDT,crypto/XTVCUSDT,crypto/XTVCDOGG,blofin,"{'id': 'BLOFIN', 'name': 'BloFin', 'description': 'BloFin'}",BLOFIN,"['crypto', 'perpetual']",BLOFIN,,,
7964,GMMUSDT,Gamium / Tether,spot,KuCoin,USDT,crypto/XTVCUSDT,crypto/XTVCGMM,kucoin,"{'id': 'KUCOIN', 'name': 'KuCoin', 'description': 'KuCoin'}",KUCOIN,"['crypto', 'defi']",KUCOIN,,,
7965,HOOKUSDT.PS,HOOK / TETHER Standard Futures,swap,BingX,USDT,crypto/XTVCUSDT,crypto/XTVCHOOK,bingx,"{'id': 'BINGX', 'name': 'BingX', 'description': 'BingX'}",BINGX,"['crypto', 'perpetual']",BINGX,,,
7966,ICSAWPLS_91454D.USD,Icosa / Wrapped Pulse on PulseChain (0x91454d72cfba6190ac71d539d26ed40b6531bfe9) in USD,spot,Pulsex Pulsechain,USD,country/US,crypto/XTVCICSA,pulsex,"{'id': 'PULSEX', 'name': 'Pulsex on Pulsechain', 'description': 'Pulsex on Pulsechain'}",PULSEX,['crypto'],PULSEX,,,
7967,IOUSDT.P,IO Linear Perpetual Futures Contract,swap,PHEMEX,USDT,crypto/XTVCUSDT,crypto/XTVCIONE,phemex,"{'id': 'PHEMEX', 'name': 'Phemex', 'description': 'Phemex'}",PHEMEX,"['crypto', 'perpetual']",,,,
7968,KINEUR,KIN / Euro,spot,Kraken,EUR,country/EU,crypto/XTVCKIN,kraken,"{'id': 'KRAKEN', 'name': 'Kraken', 'description': 'Kraken'}",KRAKEN,['crypto'],KRAKEN,,,
7969,LRCUSDT.P,LRCUSDTPERP PERPETUAL MIX CONTRACT,swap,Bitget,USDT,crypto/XTVCUSDT,crypto/XTVCLRC,bitget,"{'id': 'BITGET', 'name': 'Bitget', 'description': 'Bitget'}",BITGET,"['crypto', 'perpetual', 'defi']",BITGET,,,
7970,MOGUSD,Mog Coin / U.S. dollar,spot,Bitstamp,USD,country/US,crypto/XTVCMOG,bitstamp,"{'id': 'BITSTAMP', 'name': 'Bitstamp', 'description': 'Bitstamp'}",BITSTAMP,['crypto'],BITSTAMP,,,
7971,OMIUSDT,ECOMI / USDT,spot,MEXC,USDT,crypto/XTVCUSDT,crypto/XTVCOMI,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,['crypto'],,,,
7972,OPENCUSD,Open Custody Protocol,spot,CRYPTO,USD,country/US,crypto/XTVCOPENC,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
7973,SAFE3USD,Safe,spot,CRYPTO,USD,country/US,crypto/XTVCSAFE3,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
7974,SOLUSD,Solana vs United States Dollar,spot,AFTERPRIME,USD,country/US,crypto/XTVCSOL,afterprime,"{'id': 'AFTERPRIME', 'name': 'Afterprime', 'description': 'Afterprime'}",AFTERPRIME,"['crypto', 'cfd']",,,,
7975,TADAUSDC,Tada / USDC,spot,xExchange,USDC,crypto/XTVCUSDC,crypto/XTVCTADA,xexchange,"{'id': 'XEXCHANGE', 'name': 'xExchange', 'description': 'xExchange'}",XEXCHANGE,['crypto'],XEXCHANGE,,,
7976,XMRUSDT,Monero / Tether USD,spot,HTX,USDT,crypto/XTVCUSDT,crypto/XTVCXMR,htx,"{'id': 'HTX', 'name': 'HTX', 'description': 'HTX'}",HTX,['crypto'],,,,
7977,XRPUSD.P,XRPUSDPERP PERPETUAL MIX CONTRACT,swap,Bitget,USD,country/US,crypto/XTVCXRP,bitget,"{'id': 'BITGET', 'name': 'Bitget', 'description': 'Bitget'}",BITGET,"['crypto', 'perpetual']",BITGET,,,
7978,00_ALTRANK,00 Token proprietary LunarCrush score based on an asset performance relative to all other assets supported,fundamental,LUNARCRUSH,,,,lunarcrush,"{'id': 'LUNARCRUSH', 'name': 'LunarCrush', 'description': 'LunarCrush'}",LUNARCRUSH,['crypto'],,,,
