,symbol,description,type,exchange,currency_code,currency-logoid,base-currency-logoid,provider_id,source2,source_id,typespecs,prefix,logoid,params,contracts
0,BTCUSDT,Bitcoin / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
1,BTCUSD,Bitcoin / U.S. dollar,spot,Bitstamp,USD,country/US,crypto/XTVCBTC,bitstamp,"{'id': 'BITSTAMP', 'name': 'Bitstamp', 'description': 'Bitstamp'}",BITSTAMP,['crypto'],BITSTAMP,,,
2,BTCUSD,Bitcoin / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCBTC,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
3,BTCUSDT.P,Bitcoin / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
4,SOLUSDT,SOL / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSOL,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
5,BTCUSD,Bitcoin all time history index,index,INDEX,USD,country/US,crypto/XTVCBTC,tvc,"{'id': 'INDEX', 'name': 'INDEX', 'description': 'INDEX'}",INDEX,"['crypto', 'synthetic']",,,,
6,ETHUSDT,Ethereum / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCETH,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
7,BTCUSDT.P,BTCUSDT Perpetual Contract,swap,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
8,BTC.D,"Market Cap BTC Dominance, %",index,CRYPTOCAP,,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto/XTVCBTC,,
9,BTCUSD,Bitcoin,spot,CRYPTO,USD,country/US,crypto/XTVCBTC,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
10,SOLUSD,Solana / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCSOL,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
11,ETHUSD,Ethereum / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCETH,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
12,DOGEUSDT,Dogecoin / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCDOGE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
13,BTCUSD,Bitcoin / US Dollar,spot,Binance,USD,country/US,crypto/XTVCBTC,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'tv-calculated-pair', 'synthetic']",BINANCE,,,
14,ETHUSD,Ethereum / U.S. dollar,spot,Bitstamp,USD,country/US,crypto/XTVCETH,bitstamp,"{'id': 'BITSTAMP', 'name': 'Bitstamp', 'description': 'Bitstamp'}",BITSTAMP,['crypto'],BITSTAMP,,,
15,USDT.D,"Market Cap USDT Dominance, %",index,CRYPTOCAP,,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto/XTVCUSDT,,
16,SUIUSDT,SUI / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSUI,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
17,BTCUSD.P,BTCUSD Perpetual Contract,swap,Bybit,USD,country/US,crypto/XTVCBTC,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
18,ETHUSDT.P,Ethereum / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCETH,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
19,SOLUSDT.P,SOL / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSOL,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
20,XRPUSDT,XRP / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCXRP,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
21,ETHBTC,Ethereum / Bitcoin,spot,Binance,BTC,crypto/XTVCBTC,crypto/XTVCETH,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
22,TOTAL,"Crypto Total Market Cap, $",index,CRYPTOCAP,USD,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto-total-market-cap,,
23,FTMUSDT,Fantom / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCFTM,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
24,ADAUSDT,Cardano / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCADA,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
25,TOTAL3,"Crypto Total Market Cap Excluding BTC and ETH, $",index,CRYPTOCAP,USD,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto-total-market-cap,,
26,BNBUSDT,Binance Coin / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCBNB,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
27,SOLUSDT.P,SOLUSDT Perpetual Contract,swap,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCSOL,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
28,PEPEUSDT,PEPE / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCPEPE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
29,AVAXUSDT,AVAX / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCAVAX,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
30,BTCUSDT.P,BTC / Tether PERPETUAL FUTURES,swap,MEXC,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,"['crypto', 'perpetual']",,,,
31,BTCUSDT,BTCUSDT SPOT,spot,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,['crypto'],BYBIT,,,
32,SOLUSD,SOL / US Dollar,spot,Binance,USD,country/US,crypto/XTVCSOL,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'tv-calculated-pair', 'synthetic']",BINANCE,,,
33,BTCUSD,Bitcoin / Dollar,spot,Bitfinex,USD,country/US,crypto/XTVCBTC,bitfinex,"{'id': 'BITFINEX', 'name': 'Bitfinex', 'description': 'Bitfinex'}",BITFINEX,['crypto'],BITFINEX,,,
34,LINKUSDT,ChainLink / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCLINK,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
35,ETHUSDT.P,ETHUSDT Perpetual Contract,swap,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCETH,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
36,ETHUSD,Ethereum / US Dollar,spot,Binance,USD,country/US,crypto/XTVCETH,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'tv-calculated-pair', 'synthetic']",BINANCE,,,
37,NEARUSDT,NEAR / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCNEAR,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
38,FETUSDT,Fetch.AI / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCFET,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
39,WIFUSDT,WIF / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCWIF,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
40,SHIBUSDT,SHIB / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSHIB,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
41,BTCUSDT.P,BTCUSDTPERP PERPETUAL MIX CONTRACT,swap,Bitget,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,bitget,"{'id': 'BITGET', 'name': 'Bitget', 'description': 'Bitget'}",BITGET,"['crypto', 'perpetual']",BITGET,,,
42,DOTUSDT,DOT / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCDOT,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
43,RUNEUSDT,RUNE / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCRUNE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
44,TIAUSDT,TIA / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCTIA2,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
45,XRPUSD,XRP / U.S. dollar,spot,Bitstamp,USD,country/US,crypto/XTVCXRP,bitstamp,"{'id': 'BITSTAMP', 'name': 'Bitstamp', 'description': 'Bitstamp'}",BITSTAMP,['crypto'],BITSTAMP,,,
46,POPCATUSDT.P,POPCATUSDT Perpetual Contract,swap,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCPOPCAT2,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
47,APEUSDT,APE / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCAPE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
48,BITCOIN,Bitcoin/US Dollar,spot,MARKETSCOM,USD,country/US,crypto/XTVCBTC,marketscom,"{'id': 'MARKETSCOM', 'name': 'Markets.com', 'description': 'Markets.com'}",MARKETSCOM,"['crypto', 'cfd']",,,,
49,NOTUSDT,NOT / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCNOT,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
50,INJUSDT,INJ / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCINJ,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
51,BTCUSDT,Bitcoin / Tether,spot,KuCoin,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,kucoin,"{'id': 'KUCOIN', 'name': 'KuCoin', 'description': 'KuCoin'}",KUCOIN,['crypto'],KUCOIN,,,
52,APTUSDT,APT / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCAPTO,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
53,DOGEUSDT.P,Dogecoin / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCDOGE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
54,BTCUSD,Bitcoin / U. S. Dollar,spot,Kraken,USD,country/US,crypto/XTVCBTC,kraken,"{'id': 'KRAKEN', 'name': 'Kraken', 'description': 'Kraken'}",KRAKEN,['crypto'],KRAKEN,,,
55,JUPUSDT,JUP / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCJUPI,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
56,NEIROUSDT,NEIRO / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCNEIROF,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
57,SEIUSDT,SEI / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSEI,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
58,BTCUSDT.P,BTCUSDT Perpetual Swap Contract,swap,OKX,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,okx,"{'id': 'OKX', 'name': 'OKX', 'description': 'OKX'}",OKX,"['crypto', 'perpetual']",,,,
59,SOLUSD,Solana,spot,CRYPTO,USD,country/US,crypto/XTVCSOL,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
60,DOGEUSD,Dogecoin / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCDOGE,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
61,SUIUSD,SUI / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCSUI,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
62,DOGSUSDT,DOGS / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCDOGS2,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
63,AAVEUSDT,AAVE / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCAAVE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
64,BTCUSDT.PS,BITCOIN / TETHER Standard Futures,swap,BingX,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,bingx,"{'id': 'BINGX', 'name': 'BingX', 'description': 'BingX'}",BINGX,"['crypto', 'perpetual']",BINGX,,,
65,WIFUSDT.P,WIF / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCWIF,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
66,ARBUSDT,ARB / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCARBI,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
67,ATOMUSDT,Cosmos / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCATOM,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
68,OPUSDT,OP / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCOP,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
69,GOATUSDT,Goatseus Maximus / USDT,spot,MEXC,USDT,,,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,['crypto'],,,,
70,TOTAL2,"Crypto Total Market Cap Excluding BTC, $",index,CRYPTOCAP,USD,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto-total-market-cap,,
71,LTCUSDT,Litecoin / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCLTC,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
72,SUIUSDT.P,SUI / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCSUI,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
73,WLDUSDT,WLD / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCWLDW,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
74,GALAUSDT,GALA / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCGALA,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
75,SOLBTC,SOL / Bitcoin,spot,Binance,BTC,crypto/XTVCBTC,crypto/XTVCSOL,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
76,RAYUSDT,RAY / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCRAY,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
77,UNIUSDT,UNI / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCUNI,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
78,ETHUSD,Ethereum all time history index,index,INDEX,USD,country/US,crypto/XTVCETH,tvc,"{'id': 'INDEX', 'name': 'INDEX', 'description': 'INDEX'}",INDEX,"['crypto', 'synthetic']",,,,
79,ENAUSDT,ENA / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCENA,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'defi']",BINANCE,,,
80,1000PEPEUSDT.P,1000PEPE / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVC1000PEPE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
81,BTCUSDT,Bitcoin/Tether,spot,OKX,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,okx,"{'id': 'OKX', 'name': 'OKX', 'description': 'OKX'}",OKX,['crypto'],,,,
82,BTCUSD.P,BTC Perpetual Futures Contract,swap,Binance,USD,country/US,crypto/XTVCBTC,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
83,DYDXUSDT,DYDX / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCDYDX,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
84,BTCUSDT.P,BTC/USDT Perpetual Contract,swap,BingX,USDT,crypto/XTVCUSDT,crypto/XTVCBTC,bingx,"{'id': 'BINGX', 'name': 'BingX', 'description': 'BingX'}",BINGX,"['crypto', 'perpetual']",BINGX,,,
85,TRXUSDT,TRON / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCTRX,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
86,TAOUSDT,TAO / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCTAOB,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
87,MOODENGUSDT.P,MOODENGUSDT Perpetual Contract,swap,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCMOODENG,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
88,XAUUSD,GOLD / US DOLLAR,commodity,PYTH,USD,,,pyth,"{'id': 'PYTH', 'name': 'Pyth', 'description': 'Pyth'}",PYTH,"['crypto', 'oracle']",,metal/gold,,
89,FILUSDT,FIL / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCFIL,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
90,RENDERUSDT,RENDER / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCRNDR,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
91,LINKUSD,Chainlink / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCLINK,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,"['crypto', 'defi']",COINBASE,,,
92,BNBUSDT.P,Binance Coin / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCBNB,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
93,ETHUSD,Ethereum,spot,CRYPTO,USD,country/US,crypto/XTVCETH,tvc,"{'id': 'CRYPTO', 'name': 'Crypto assets', 'description': 'Crypto assets'}",CRYPTO,"['crypto', 'cryptoasset', 'synthetic']",,,,
94,OTHERS,"Crypto Total Market Cap Excluding Top 10, $",index,CRYPTOCAP,USD,,,tvc,"{'id': 'CRYPTOCAP', 'name': 'Crypto Market Capitalization', 'description': 'Crypto Market Capitalization'}",CRYPTOCAP,"['crypto', 'synthetic']",,crypto-total-market-cap,,
95,WIFUSDT.P,WIFUSDT Perpetual Contract,swap,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCWIF,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
96,NEIROETHUSDT.P,NEIROETH / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,,,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
97,FLOKIUSDT,FLOKI / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCFLOKI,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
98,NEIROUSDT.P,NEIRO / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCNEIROF,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
99,POPCATUSDT.P,POPCAT / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCPOPCAT2,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
100,KASUSDT,Kaspa / USDT,spot,MEXC,USDT,crypto/XTVCUSDT,crypto/XTVCKAS,mexc,"{'id': 'MEXC', 'name': 'MEXC', 'description': 'MEXC'}",MEXC,['crypto'],,,,
101,APEUSDT.P,APE / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCAPE,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
102,AVAXUSDT.P,AVAX / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCAVAX,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual', 'defi']",BINANCE,,,
103,XRPUSD,XRP / US Dollar,spot,Binance,USD,country/US,crypto/XTVCXRP,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'tv-calculated-pair', 'synthetic']",BINANCE,,,
104,BONKUSDT,BONK / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCBONK,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
105,AEROUSD,Aerodrome Finance / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCAEROD,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
106,BTCUSD,Bitcoin,spot,OANDA,USD,country/US,crypto/XTVCBTC,oanda,"{'id': 'OANDA', 'name': 'OANDA', 'description': 'OANDA'}",OANDA,"['crypto', 'cfd']",,,,
107,SHIBUSD,SHIBA INU / US Dollar,spot,Coinbase,USD,country/US,crypto/XTVCSHIB,coinbase,"{'id': 'COINBASE', 'name': 'Coinbase', 'description': 'Coinbase'}",COINBASE,['crypto'],COINBASE,,,
108,ICPUSDT,ICP / TetherUS,spot,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCICP,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,['crypto'],BINANCE,,,
109,TIAUSDT.P,TIA / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCTIA2,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
110,SUIUSDT.P,SUIUSDT Perpetual Contract,swap,Bybit,USDT,crypto/XTVCUSDT,crypto/XTVCSUI,bybit,"{'id': 'BYBIT', 'name': 'Bybit', 'description': 'Bybit'}",BYBIT,"['crypto', 'perpetual']",BYBIT,,,
111,XRPUSDT.P,XRP / TetherUS PERPETUAL CONTRACT,swap,Binance,USDT,crypto/XTVCUSDT,crypto/XTVCXRP,binance,"{'id': 'BINANCE', 'name': 'Binance', 'description': 'Binance'}",BINANCE,"['crypto', 'perpetual']",BINANCE,,,
